"","Survived","Pclass","Sex","Age","Embarked","Famsize","Fsize","Fare"
"151","0","2","male",51,"S",1,"singleton",12.525
"152","1","1","female",22,"S",2,"small",66.6
"153","0","3","male",55.5,"S",1,"singleton",8.05
"154","0","3","male",40.5,"S",3,"small",14.5
"155","0","3","male",22,"S",1,"singleton",7.3125
"156","0","1","male",51,"C",2,"small",61.3792
"157","1","3","female",16,"Q",1,"singleton",7.7333
"158","0","3","male",30,"S",1,"singleton",8.05
"159","0","3","male",21,"S",1,"singleton",8.6625
"160","0","3","male",16,"S",11,"large",69.55
"161","0","3","male",44,"S",2,"small",16.1
"162","1","2","female",40,"S",1,"singleton",15.75
"163","0","3","male",26,"S",1,"singleton",7.775
"164","0","3","male",17,"S",1,"singleton",8.6625
"165","0","3","male",1,"S",6,"large",39.6875
"166","1","3","male",9,"S",3,"small",20.525
"167","1","1","female",31,"S",2,"small",55
"168","0","3","female",45,"S",6,"large",27.9
"169","0","1","male",48,"S",1,"singleton",25.925
"170","0","3","male",28,"S",1,"singleton",56.4958
"171","0","1","male",61,"S",1,"singleton",33.5
"172","0","3","male",4,"Q",6,"large",29.125
"173","1","3","female",1,"S",3,"small",11.1333
"174","0","3","male",21,"S",1,"singleton",7.925
"175","0","1","male",56,"C",1,"singleton",30.6958
"176","0","3","male",18,"S",3,"small",7.8542
"177","0","3","male",24,"S",5,"large",25.4667
"178","0","1","female",50,"C",1,"singleton",28.7125
"179","0","2","male",30,"S",1,"singleton",13
"180","0","3","male",36,"S",1,"singleton",0
"181","0","3","female",16,"S",11,"large",69.55
"182","0","2","male",27,"C",1,"singleton",15.05
"183","0","3","male",9,"S",7,"large",31.3875
"184","1","2","male",1,"S",4,"small",39
"185","1","3","female",4,"S",3,"small",22.025
"186","0","1","male",47,"S",1,"singleton",50
"187","1","3","female",26,"Q",2,"small",15.5
"188","1","1","male",45,"S",1,"singleton",26.55
"189","0","3","male",40,"Q",3,"small",15.5
"190","0","3","male",36,"S",1,"singleton",7.8958
"191","1","2","female",32,"S",1,"singleton",13
"192","0","2","male",19,"S",1,"singleton",13
"193","1","3","female",19,"S",2,"small",7.8542
"194","1","2","male",3,"S",3,"small",26
"195","1","1","female",44,"C",1,"singleton",27.7208
"196","1","1","female",58,"C",1,"singleton",146.5208
"197","0","3","male",30.5,"Q",1,"singleton",7.75
"198","0","3","male",42,"S",2,"small",8.4042
"199","1","3","female",30.5,"Q",1,"singleton",7.75
"200","0","2","female",24,"S",1,"singleton",13
"201","0","3","male",28,"S",1,"singleton",9.5
"202","0","3","male",16,"S",11,"large",69.55
"203","0","3","male",34,"S",1,"singleton",6.4958
"204","0","3","male",45.5,"C",1,"singleton",7.225
"205","1","3","male",18,"S",1,"singleton",8.05
"206","0","3","female",2,"S",2,"small",10.4625
"207","0","3","male",32,"S",2,"small",15.85
"208","1","3","male",26,"C",1,"singleton",18.7875
"209","1","3","female",16,"Q",1,"singleton",7.75
"210","1","1","male",40,"C",1,"singleton",31
"211","0","3","male",24,"S",1,"singleton",7.05
"212","1","2","female",35,"S",1,"singleton",21
"213","0","3","male",22,"S",1,"singleton",7.25
"214","0","2","male",30,"S",1,"singleton",13
"215","0","3","male",30.5,"Q",2,"small",7.75
"216","1","1","female",31,"C",2,"small",113.275
"217","1","3","female",27,"S",1,"singleton",7.925
"218","0","2","male",42,"S",2,"small",27
"219","1","1","female",32,"C",1,"singleton",76.2917
"220","0","2","male",30,"S",1,"singleton",10.5
"221","1","3","male",16,"S",1,"singleton",8.05
"222","0","2","male",27,"S",1,"singleton",13
"223","0","3","male",51,"S",1,"singleton",8.05
"224","0","3","male",28,"S",1,"singleton",7.8958
"225","1","1","male",38,"S",2,"small",90
"226","0","3","male",22,"S",1,"singleton",9.35
"227","1","2","male",19,"S",1,"singleton",10.5
"228","0","3","male",20.5,"S",1,"singleton",7.25
"229","0","2","male",18,"S",1,"singleton",13
"230","0","3","female",24,"S",5,"large",25.4667
"231","1","1","female",35,"S",2,"small",83.475
"232","0","3","male",29,"S",1,"singleton",7.775
"233","0","2","male",59,"S",1,"singleton",13.5
"234","1","3","female",5,"S",7,"large",31.3875
"235","0","2","male",24,"S",1,"singleton",10.5
"236","0","3","female",24,"S",1,"singleton",7.55
"237","0","2","male",44,"S",2,"small",26
"238","1","2","female",8,"S",3,"small",26.25
"239","0","2","male",19,"S",1,"singleton",10.5
"240","0","2","male",33,"S",1,"singleton",12.275
"241","0","3","female",18,"C",2,"small",14.4542
"242","1","3","female",26,"Q",2,"small",15.5
"243","0","2","male",29,"S",1,"singleton",10.5
"244","0","3","male",22,"S",1,"singleton",7.125
"245","0","3","male",30,"C",1,"singleton",7.225
"246","0","1","male",44,"Q",3,"small",90
"247","0","3","female",25,"S",1,"singleton",7.775
"248","1","2","female",24,"S",3,"small",14.5
"249","1","1","male",37,"S",3,"small",52.5542
"250","0","2","male",54,"S",2,"small",26
"251","0","3","male",22,"S",1,"singleton",7.25
"252","0","3","female",29,"S",3,"small",10.4625
"253","0","1","male",62,"S",1,"singleton",26.55
"254","0","3","male",30,"S",2,"small",16.1
"255","0","3","female",41,"S",3,"small",20.2125
"256","1","3","female",29,"C",3,"small",15.2458
"257","1","1","female",48,"C",1,"singleton",79.2
"258","1","1","female",30,"S",1,"singleton",86.5
"259","1","1","female",35,"C",1,"singleton",512.3292
"260","1","2","female",50,"S",2,"small",26
"261","0","3","male",30.5,"Q",1,"singleton",7.75
"262","1","3","male",3,"S",7,"large",31.3875
"263","0","1","male",52,"S",3,"small",79.65
"264","0","1","male",40,"S",1,"singleton",0
"265","0","3","female",30.5,"Q",1,"singleton",7.75
"266","0","2","male",36,"S",1,"singleton",10.5
"267","0","3","male",16,"S",6,"large",39.6875
"268","1","3","male",25,"S",2,"small",7.775
"269","1","1","female",58,"S",2,"small",153.4625
"270","1","1","female",35,"S",1,"singleton",135.6333
"271","0","1","male",47,"S",1,"singleton",31
"272","1","3","male",25,"S",1,"singleton",0
"273","1","2","female",41,"S",2,"small",19.5
"274","0","1","male",37,"C",2,"small",29.7
"275","1","3","female",30.5,"Q",1,"singleton",7.75
"276","1","1","female",63,"S",2,"small",77.9583
"277","0","3","female",45,"S",1,"singleton",7.75
"278","0","2","male",29,"S",1,"singleton",0
"279","0","3","male",7,"Q",6,"large",29.125
"280","1","3","female",35,"S",3,"small",20.25
"281","0","3","male",65,"Q",1,"singleton",7.75
"282","0","3","male",28,"S",1,"singleton",7.8542
"283","0","3","male",16,"S",1,"singleton",9.5
"284","1","3","male",19,"S",1,"singleton",8.05
"285","0","1","male",46,"S",1,"singleton",26
"286","0","3","male",33,"C",1,"singleton",8.6625
"287","1","3","male",30,"S",1,"singleton",9.5
"288","0","3","male",22,"S",1,"singleton",7.8958
"289","1","2","male",42,"S",1,"singleton",13
"290","1","3","female",22,"Q",1,"singleton",7.75
"291","1","1","female",26,"S",1,"singleton",78.85
"292","1","1","female",19,"C",2,"small",91.0792
"293","0","2","male",36,"C",1,"singleton",12.875
"294","0","3","female",24,"S",1,"singleton",8.85
"295","0","3","male",24,"S",1,"singleton",7.8958
"296","0","1","male",43,"C",1,"singleton",27.7208
"297","0","3","male",23.5,"C",1,"singleton",7.2292
"298","0","1","female",2,"S",4,"small",151.55
"299","1","1","male",47,"S",1,"singleton",30.5
"300","1","1","female",50,"C",2,"small",247.5208
"301","1","3","female",30.5,"Q",1,"singleton",7.75
"302","1","3","male",15,"Q",3,"small",23.25
"303","0","3","male",19,"S",1,"singleton",0
"304","1","2","female",35,"Q",1,"singleton",12.35
"305","0","3","male",24,"S",1,"singleton",8.05
"306","1","1","male",0.92,"S",4,"small",151.55
"307","1","1","female",31,"C",1,"singleton",110.8833
"308","1","1","female",17,"C",2,"small",108.9
"309","0","2","male",30,"C",2,"small",24
"310","1","1","female",30,"C",1,"singleton",56.9292
"311","1","1","female",24,"C",1,"singleton",83.1583
"312","1","1","female",18,"C",5,"large",262.375
"313","0","2","female",26,"S",3,"small",26
"314","0","3","male",28,"S",1,"singleton",7.8958
"315","0","2","male",43,"S",3,"small",26.25
"316","1","3","female",26,"S",1,"singleton",7.8542
"317","1","2","female",24,"S",2,"small",26
"318","0","2","male",54,"S",1,"singleton",14
"319","1","1","female",31,"S",3,"small",164.8667
"320","1","1","female",40,"C",3,"small",134.5
"321","0","3","male",22,"S",1,"singleton",7.25
"322","0","3","male",27,"S",1,"singleton",7.8958
"323","1","2","female",30,"Q",1,"singleton",12.35
"324","1","2","female",22,"S",3,"small",29
"325","0","3","male",16,"S",11,"large",69.55
"326","1","1","female",36,"C",1,"singleton",135.6333
"327","0","3","male",61,"S",1,"singleton",6.2375
"328","1","2","female",36,"S",1,"singleton",13
"329","1","3","female",31,"S",3,"small",20.525
"330","1","1","female",16,"C",2,"small",57.9792
"331","1","3","female",15,"Q",3,"small",23.25
"332","0","1","male",45.5,"S",1,"singleton",28.5
"333","0","1","male",38,"S",2,"small",153.4625
"334","0","3","male",16,"S",3,"small",18
"335","1","1","female",25,"S",2,"small",133.65
"336","0","3","male",28,"S",1,"singleton",7.8958
"337","0","1","male",29,"S",2,"small",66.6
"338","1","1","female",41,"C",1,"singleton",134.5
"339","1","3","male",45,"S",1,"singleton",8.05
"340","0","1","male",45,"S",1,"singleton",35.5
"341","1","2","male",2,"S",3,"small",26
"342","1","1","female",24,"S",6,"large",263
"343","0","2","male",28,"S",1,"singleton",13
"344","0","2","male",25,"S",1,"singleton",13
"345","0","2","male",36,"S",1,"singleton",13
"346","1","2","female",24,"S",1,"singleton",13
"347","1","2","female",40,"S",1,"singleton",13
"348","1","3","female",24,"S",2,"small",16.1
"349","1","3","male",3,"S",3,"small",15.9
"350","0","3","male",42,"S",1,"singleton",8.6625
"351","0","3","male",23,"S",1,"singleton",9.225
"352","0","1","male",47,"S",1,"singleton",35
"353","0","3","male",15,"C",3,"small",7.2292
"354","0","3","male",25,"S",2,"small",17.8
"355","0","3","male",26.5,"C",1,"singleton",7.225
"356","0","3","male",28,"S",1,"singleton",9.5
"357","1","1","female",22,"S",2,"small",55
"358","0","2","female",38,"S",1,"singleton",13
"359","1","3","female",22,"Q",1,"singleton",7.8792
"360","1","3","female",22,"Q",1,"singleton",7.8792
"361","0","3","male",40,"S",6,"large",27.9
"362","0","2","male",29,"C",2,"small",27.7208
"363","0","3","female",45,"C",2,"small",14.4542
"364","0","3","male",35,"S",1,"singleton",7.05
"365","0","3","male",26,"Q",2,"small",15.5
"366","0","3","male",30,"S",1,"singleton",7.25
"367","1","1","female",60,"C",2,"small",75.25
"368","1","3","female",20,"C",1,"singleton",7.2292
"369","1","3","female",30.5,"Q",1,"singleton",7.75
"370","1","1","female",24,"C",1,"singleton",69.3
"371","1","1","male",25,"C",2,"small",55.4417
"372","0","3","male",18,"S",2,"small",6.4958
"373","0","3","male",19,"S",1,"singleton",8.05
"374","0","1","male",22,"C",1,"singleton",135.6333
"375","0","3","female",3,"S",5,"large",21.075
"376","1","1","female",39,"C",2,"small",82.1708
"377","1","3","female",22,"S",1,"singleton",7.25
"378","0","1","male",27,"C",3,"small",211.5
"379","0","3","male",20,"C",1,"singleton",4.0125
"380","0","3","male",19,"S",1,"singleton",7.775
"381","1","1","female",42,"C",1,"singleton",227.525
"382","1","3","female",1,"C",3,"small",15.7417
"383","0","3","male",32,"S",1,"singleton",7.925
"384","1","1","female",35,"S",2,"small",52
"385","0","3","male",28,"S",1,"singleton",7.8958
"386","0","2","male",18,"S",1,"singleton",73.5
"387","0","3","male",1,"S",8,"large",46.9
"388","1","2","female",36,"S",1,"singleton",13
"389","0","3","male",22,"Q",1,"singleton",7.7292
"390","1","2","female",17,"C",1,"singleton",12
"391","1","1","male",36,"S",4,"small",120
"392","1","3","male",21,"S",1,"singleton",7.7958
"393","0","3","male",28,"S",3,"small",7.925
"394","1","1","female",23,"C",2,"small",113.275
"395","1","3","female",24,"S",3,"small",16.7
"396","0","3","male",22,"S",1,"singleton",7.7958
"397","0","3","female",31,"S",1,"singleton",7.8542
"398","0","2","male",46,"S",1,"singleton",26
"399","0","2","male",23,"S",1,"singleton",10.5
"400","1","2","female",28,"S",1,"singleton",12.65
"401","1","3","male",39,"S",1,"singleton",7.925
"402","0","3","male",26,"S",1,"singleton",8.05
"403","0","3","female",21,"S",2,"small",9.825
"404","0","3","male",28,"S",2,"small",15.85
"405","0","3","female",20,"S",1,"singleton",8.6625
"406","0","2","male",34,"S",2,"small",21
"407","0","3","male",51,"S",1,"singleton",7.75
"408","1","2","male",3,"S",3,"small",18.75
"409","0","3","male",21,"S",1,"singleton",7.775
"410","0","3","female",24,"S",5,"large",25.4667
"411","0","3","male",28,"S",1,"singleton",7.8958
"412","0","3","male",21,"Q",1,"singleton",6.8583
"413","1","1","female",33,"Q",2,"small",90
"414","0","2","male",29,"S",1,"singleton",0
"415","1","3","male",44,"S",1,"singleton",7.925
"416","0","3","female",24,"S",1,"singleton",8.05
"417","1","2","female",34,"S",3,"small",32.5
"418","1","2","female",18,"S",3,"small",13
"419","0","2","male",30,"S",1,"singleton",13
"420","0","3","female",10,"S",3,"small",24.15
"421","0","3","male",22,"C",1,"singleton",7.8958
"422","0","3","male",21,"Q",1,"singleton",7.7333
"423","0","3","male",29,"S",1,"singleton",7.875
"424","0","3","female",28,"S",3,"small",14.4
"425","0","3","male",18,"S",3,"small",20.2125
"426","0","3","male",22,"S",1,"singleton",7.25
"427","1","2","female",28,"S",2,"small",26
"428","1","2","female",19,"S",1,"singleton",26
"429","0","3","male",30.5,"Q",1,"singleton",7.75
"430","1","3","male",32,"S",1,"singleton",8.05
"431","1","1","male",28,"S",1,"singleton",26.55
"432","1","3","female",24,"S",2,"small",16.1
"433","1","2","female",42,"S",2,"small",26
"434","0","3","male",17,"S",1,"singleton",7.125
"435","0","1","male",50,"S",2,"small",55.9
"436","1","1","female",14,"S",4,"small",120
"437","0","3","female",21,"S",5,"large",34.375
"438","1","2","female",24,"S",6,"large",18.75
"439","0","1","male",64,"S",6,"large",263
"440","0","2","male",31,"S",1,"singleton",10.5
"441","1","2","female",45,"S",3,"small",26.25
"442","0","3","male",20,"S",1,"singleton",9.5
"443","0","3","male",25,"S",2,"small",7.775
"444","1","2","female",28,"S",1,"singleton",13
"445","1","3","male",22,"S",1,"singleton",8.1125
"446","1","1","male",4,"S",3,"small",81.8583
"447","1","2","female",13,"S",2,"small",19.5
"448","1","1","male",34,"S",1,"singleton",26.55
"449","1","3","female",5,"C",4,"small",19.2583
"450","1","1","male",52,"S",1,"singleton",30.5
"451","0","2","male",36,"S",4,"small",27.75
"452","0","3","male",18,"S",2,"small",19.9667
"453","0","1","male",30,"C",1,"singleton",27.75
"454","1","1","male",49,"C",2,"small",89.1042
"455","0","3","male",24,"S",1,"singleton",8.05
"456","1","3","male",29,"C",1,"singleton",7.8958
"457","0","1","male",65,"S",1,"singleton",26.55
"458","1","1","female",42,"S",2,"small",51.8625
"459","1","2","female",50,"S",1,"singleton",10.5
"460","0","3","male",30.5,"Q",1,"singleton",7.75
"461","1","1","male",48,"S",1,"singleton",26.55
"462","0","3","male",34,"S",1,"singleton",8.05
"463","0","1","male",47,"S",1,"singleton",38.5
"464","0","2","male",48,"S",1,"singleton",13
"465","0","3","male",24,"S",1,"singleton",8.05
"466","0","3","male",38,"S",1,"singleton",7.05
"467","0","2","male",29,"S",1,"singleton",0
"468","0","1","male",56,"S",1,"singleton",26.55
"469","0","3","male",22,"Q",1,"singleton",7.725
"470","1","3","female",0.75,"C",4,"small",19.2583
"471","0","3","male",22,"S",1,"singleton",7.25
"472","0","3","male",38,"S",1,"singleton",8.6625
"473","1","2","female",33,"S",4,"small",27.75
"474","1","2","female",23,"C",1,"singleton",13.7917
"475","0","3","female",22,"S",1,"singleton",9.8375
"476","0","1","male",42,"S",1,"singleton",52
"477","0","2","male",34,"S",2,"small",21
"478","0","3","male",29,"S",2,"small",7.0458
"479","0","3","male",22,"S",1,"singleton",7.5208
"480","1","3","female",2,"S",2,"small",12.2875
"481","0","3","male",9,"S",8,"large",46.9
"482","0","2","male",29,"S",1,"singleton",0
"483","0","3","male",50,"S",1,"singleton",8.05
"484","1","3","female",63,"S",1,"singleton",9.5875
"485","1","1","male",25,"C",2,"small",91.0792
"486","0","3","female",24,"S",5,"large",25.4667
"487","1","1","female",35,"S",2,"small",90
"488","0","1","male",58,"C",1,"singleton",29.7
"489","0","3","male",30,"S",1,"singleton",8.05
"490","1","3","male",9,"S",3,"small",15.9
"491","0","3","male",18,"S",2,"small",19.9667
"492","0","3","male",21,"S",1,"singleton",7.25
"493","0","1","male",55,"S",1,"singleton",30.5
"494","0","1","male",71,"C",1,"singleton",49.5042
"495","0","3","male",21,"S",1,"singleton",8.05
"496","0","3","male",18,"C",1,"singleton",14.4583
"497","1","1","female",54,"C",2,"small",78.2667
"498","0","3","male",34,"S",1,"singleton",15.1
"499","0","1","female",25,"S",4,"small",151.55
"500","0","3","male",24,"S",1,"singleton",7.7958
"501","0","3","male",17,"S",1,"singleton",8.6625
"502","0","3","female",21,"Q",1,"singleton",7.75
"503","0","3","female",22,"Q",1,"singleton",7.6292
"504","0","3","female",37,"S",1,"singleton",9.5875
"505","1","1","female",16,"S",1,"singleton",86.5
"506","0","1","male",18,"C",2,"small",108.9
"507","1","2","female",33,"S",3,"small",26
"508","1","1","male",56,"S",1,"singleton",26.55
"509","0","3","male",28,"S",1,"singleton",22.525
"510","1","3","male",26,"S",1,"singleton",56.4958
"511","1","3","male",29,"Q",1,"singleton",7.75
"512","0","3","male",24,"S",1,"singleton",8.05
"513","1","1","male",36,"S",1,"singleton",26.2875
"514","1","1","female",54,"C",2,"small",59.4
"515","0","3","male",24,"S",1,"singleton",7.4958
"516","0","1","male",47,"S",1,"singleton",34.0208
"517","1","2","female",34,"S",1,"singleton",10.5
"518","0","3","male",15,"Q",1,"singleton",24.15
"519","1","2","female",36,"S",2,"small",26
"520","0","3","male",32,"S",1,"singleton",7.8958
"521","1","1","female",30,"S",1,"singleton",93.5
"522","0","3","male",22,"S",1,"singleton",7.8958
"523","0","3","male",26.5,"C",1,"singleton",7.225
"524","1","1","female",44,"C",2,"small",57.9792
"525","0","3","male",20,"C",1,"singleton",7.2292
"526","0","3","male",40.5,"Q",1,"singleton",7.75
"527","1","2","female",50,"S",1,"singleton",10.5
"528","0","1","male",29,"S",1,"singleton",221.7792
"529","0","3","male",39,"S",1,"singleton",7.925
"530","0","2","male",23,"S",4,"small",11.5
"531","1","2","female",2,"S",3,"small",26
"532","0","3","male",20,"C",1,"singleton",7.2292
"533","0","3","male",17,"C",3,"small",7.2292
"534","1","3","female",11,"C",3,"small",22.3583
"535","0","3","female",30,"S",1,"singleton",8.6625
"536","1","2","female",7,"S",3,"small",26.25
"537","0","1","male",45,"S",1,"singleton",26.55
"538","1","1","female",30,"C",1,"singleton",106.425
"539","0","3","male",40.5,"S",1,"singleton",14.5
"540","1","1","female",22,"C",3,"small",49.5
"541","1","1","female",36,"S",3,"small",71
"542","0","3","female",9,"S",7,"large",31.275
"543","0","3","female",11,"S",7,"large",31.275
"544","1","2","male",32,"S",2,"small",26
"545","0","1","male",50,"C",2,"small",106.425
"546","0","1","male",64,"S",1,"singleton",26
"547","1","2","female",19,"S",2,"small",26
"548","1","2","male",27,"C",1,"singleton",13.8625
"549","0","3","male",33,"S",3,"small",20.525
"550","1","2","male",8,"S",3,"small",36.75
"551","1","1","male",17,"C",3,"small",110.8833
"552","0","2","male",27,"S",1,"singleton",26
"553","0","3","male",22,"Q",1,"singleton",7.8292
"554","1","3","male",22,"C",1,"singleton",7.225
"555","1","3","female",22,"S",1,"singleton",7.775
"556","0","1","male",62,"S",1,"singleton",26.55
"557","1","1","female",48,"C",2,"small",39.6
"558","0","1","male",38,"C",1,"singleton",227.525
"559","1","1","female",39,"S",3,"small",79.65
"560","1","3","female",36,"S",2,"small",17.4
"561","0","3","male",30.5,"Q",1,"singleton",7.75
"562","0","3","male",40,"S",1,"singleton",7.8958
"563","0","2","male",28,"S",1,"singleton",13.5
"564","0","3","male",24,"S",1,"singleton",8.05
"565","0","3","female",24,"S",1,"singleton",8.05
"566","0","3","male",24,"S",3,"small",24.15
"567","0","3","male",19,"S",1,"singleton",7.8958
"568","0","3","female",29,"S",5,"large",21.075
"569","0","3","male",20,"C",1,"singleton",7.2292
"570","1","3","male",32,"S",1,"singleton",7.8542
"571","1","2","male",62,"S",1,"singleton",10.5
